NCT ID,Asset,Title,Lead Sponsor,Acronym,Overall Status,Enrollment,Start Date,Conditions,Interventions,Primary Outcome(s),Secondary Outcome(s),Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases
NCT01235585,Bitopertin,"Phase III, Multi-center, Randomized, 12-week, Double-blind, Parallel-group, Placebo-controlled Study to Evaluate the Efficacy and Safety of RO4917838 in Patients With Sub-optimally Controlled Symptoms of Schizophrenia Treated With Antipsychotics Followed by a 40-week Double-blind, Parallel-group, Placebo-controlled Treatment Period.",Hoffmann-La Roche,Unknown,COMPLETED,597,2010-12,Schizophrenia,"Placebo, bitopertin [RO4917838], bitopertin [RO4917838]","Positive symptoms factor score assessed by Positive and Negative Syndrome Scale (PANSS), Safety (incidence of adverse events)","Symptom domains of schizophrenia using Positive and Negative Syndrome Scale (PANSS), Disease improvement on Clinical Global Impression - Improvement (CGI-I) symptoms scale, Disease severity on Clinical Global Impression - Severity (CGI-S) symptoms scale, Safety (incidence of adverse events)","Carson - United States, Garden Grove - United States, Long Beach - United States, Long Beach - United States, Oceanside - United States, San Diego - United States, San Diego - United States, Hartford - United States, Norwalk - United States, North Miami - United States, Atlanta - United States, Chicago - United States, Hoffman Estates - United States, Joliet - United States, Lake Charles - United States, St. Louis - United States, St. Louis - United States, Omahac - United States, Cedarhurst - United States, Jamaica - United States, Rochester - United States, Allentown - United States, Norristown - United States, Philadelphia - United States, Bothell - United States, Salvador - Brazil, Goiania - Brazil, Belo Horizonte - Brazil, Curitiba - Brazil, Rio de Janeiro - Brazil, Pelotas - Brazil, Porto Alegre - Brazil, Itapira - Brazil, Sao Paulo - Brazil, Sao Paulo - Brazil, Calgary - Canada, Medicine Hat - Canada, Vancouver - Canada, Halifax - Canada, Burlington - Canada, Hamilton - Canada, Mississauga - Canada, Montreal - Canada, Montreal - Canada, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Santiago - Chile, Valdivia - Chile, Berlin - Germany, Bochum - Germany, Freiburg - Germany, Hamburg - Germany, Koeln - Germany, Muenchen - Germany, Muenchen - Germany, Nürnberg - Germany, Daugovpils - Latvia, Jelgava - Latvia, Liepaja - Latvia, Kaunas - Lithuania, Kaunas - Lithuania, Kaunas - Lithuania, Kaunas - Lithuania, Silute - Lithuania, Vilnius - Lithuania, Vilnius - Lithuania, Assen - Netherlands, Groningen - Netherlands, Groningen - Netherlands, Choroszcz - Poland, Kielce - Poland, Lublin - Poland, Lublin - Poland, Lublin - Poland, Piekary Slaskie - Poland, Skorzewo - Poland, Tuszyn - Poland, Warszawa - Poland, Bojnice - Slovakia, Bratislava - Slovakia, Bratislava - Slovakia, Rimavska Sobota - Slovakia, Svidnik - Slovakia, Trnava - Slovakia, Oviedo - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Madrid - Spain, Salamanca - Spain, Zamora - Spain, Hualian Town - Taiwan, Kaohsiung - Taiwan, Taichung - Taiwan, Tainan County - Taiwan, Tainan - Taiwan, Taipei - Taiwan, Taipei - Taiwan, Ankara - Turkey, Diyarbakir - Turkey, Gaziantep - Turkey, Istanbul - Turkey, Istanbul - Turkey, Istanbul - Turkey, Kocaeli - Turkey, Manisa - Turkey, Mersin - Turkey, Dnipropetrovsk - Ukraine, Donetsk - Ukraine, Glevakha Kyviv region - Ukraine, Kharkiv - Ukraine, Kyiv - Ukraine, Kyiv - Ukraine, Lviv - Ukraine, Odesa - Ukraine, Vinnytsya - Ukraine",2014-09,2010-11-05,2016-11-02,INTERVENTIONAL,PHASE3
NCT01674361,Bitopertin,"A Phase II, Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Study to Evaluate Efficacy and Safety of RO4917838 in Combination With Selective Serotonin Reuptake Inhibitors in Patients With Obsessive Compulsive Disorder",Hoffmann-La Roche,Unknown,COMPLETED,99,2012-12-31,Obsessive-Compulsive Disorder,"Bitopertin, Placebo, SSRI",Change From Baseline in Total Score on Yale-Brown Obsessive Compulsive Scale (Y-BOCS) After 12 Weeks of Treatment,"Change From Baseline in Clinical Global Impression of Severity (CGI-S) Score After 12 Weeks of Treatment, Percentage of Participants with Response as per Pre-defined Criteria Based on the Y-BOCS and CGI, Change From Baseline in Global Social Functioning Using Sheehan Disability Scale (SDS) Total Score After 12 Weeks of Treatment, Change From Baseline in Global Social Functioning Using SDS Domain Scores After 12 Weeks of Treatment, Change From Baseline in Obsessive Compulsive Inventory-Revised (OCI-R) Score After 12 Weeks of Treatment, Change From Baseline in Columbia Suicide Severity Rating Scale After 12 Weeks of Treatment, Change From Baseline in 36-Item Short-Form Health Survey (SF-36) - Mental Component Summary After 12 Weeks of Treatment, Change From Baseline in SF-36 - Physical Component Summary After 12 Weeks of Treatment, Change From Baseline in SF-36 - Domain Scores After 12 Weeks of Treatment, Area Under The Concentration-Time Curve of Bitopertin","Oceanside - United States, Stanford - United States, New Haven - United States, Leesburg - United States, Orange City - United States, Saint Petersburg - United States, Tampa - United States, Decatur - United States, Smyrna - United States, Chicago - United States, New Orleans - United States, Boston - United States, Boston - United States, Minneapolis - United States, Flowood - United States, Saint Louis - United States, New York - United States, New York - United States, Rochester - United States, Middleburg Heights - United States, Oklahoma City - United States, Norristown - United States, Providence - United States, Memphis - United States, Austin - United States, Kirkland - United States, Middleton - United States, Edmonton - Canada, Kelowna - Canada, Halifax - Canada, Kentville - Canada, Hamilton - Canada, Mississauga - Canada, Toronto - Canada",2015-04-30,2012-08-28,2017-08-02,INTERVENTIONAL,PHASE2
NCT06139055,GSBR-1290,"A 2-part, Phase 1, Randomized Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Comparative Bioavailability of Multiple-ascending Doses of GSBR-1290 in Healthy Overweight/Obese Participants","Gasherbrum Bio, Inc",Unknown,ACTIVE_NOT_RECRUITING,70,2023-10-02,Healthy Volunteers,"GSBR-1290 (Capsule/Tablet), GSBR-1290, Placebo, Placebo (Capsule/Tablet)","Part 1: Analysis of Maximum Observed Plasma Concentration (Cmax) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate Pharmacokinetic (PK) Parameters, Part 1: Analysis of Time to Maximum Observed Plasma Concentration (Tmax) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 1: Analysis of Area Under the Plasma Concentration-time Curve From Time Zero to Last Quantifiable Concentration (AUC0-t) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 1: Analysis of Area Under the Plasma Concentration-time Curve From 0 to infinity (AUC0-inf) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 1: Analysis of Apparent Terminal Elimination Half-life (t1/2) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 1: Analysis of Total Apparent Body Clearance (CL/F) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 1: Analysis of Apparent Volume of Distribution (Vz/F) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 2: Number of Participants With Adverse Events (AEs) and Serious AEs, Part 2: Number of Participants With Severity of AEs, Part 2: Number of Participants With Clinically Significant Change From Baseline in Vital Signs, Part 2: Number of Participants With Clinically Significant Change From Baseline in Electrocardiogram (ECG) Parameters, Part 2: Number of Participants With Clinically Significant Change From Baseline in Laboratory Parameters","Part 1: Number of Participants With Adverse Events (AEs) and Serious AEs, Part 1: Number of Participants Based on Severity of AEs, Part 1: Number of Participants With Clinically Significant Change From Baseline in Vital Signs, Part 1: Number of Participants With Clinically Significant Change From Baseline in Electrocardiogram (ECG) Parameters, Part 1: Number of Participants With Clinically Significant Change From Baseline in Laboratory Parameters, Part 2: Analysis of Maximum Observed Plasma Concentration (Cmax) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate Pharmacokinetic (PK) Parameters, Part 2: Analysis of Time to Maximum Observed Plasma Concentration (Tmax) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 2: Analysis of Area Under the Plasma Concentration-time Curve From Time Zero to the End of the Dosing Interval (24 hours) at Steady State (AUC0-tau) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 2: Analysis of Plasma Trough Concentrations for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Part 2: Analysis of Apparent Terminal Elimination Half-life (t1/2) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters","Miami - United States, Miami - United States, Baltimore - United States",2024-03,2023-11-18,2024-02-15,INTERVENTIONAL,PHASE1
NCT05893043,GSBR-1290,"A Phase 1, Randomized, Double-blind, Placebo-controlled Trial of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple Ascending Doses of GSBR-1290 in Japanese and Non-Japanese Healthy Volunteers","Gasherbrum Bio, Inc",Unknown,COMPLETED,18,2023-04-24,Healthy Volunteers,"GSBR-1290, Placebo","Number of Participants With Adverse Events (AEs) and Serious AEs, Number of Participants Based on Severity of AEs, Number of Participants With Clinically Significant Change From Baseline in Vital Signs, Number of Participants With Clinically Significant Change From Baseline in Electrocardiogram (ECG) Parameters, Number of Participants With Clinically Significant Change From Baseline in Laboratory Parameters","Analysis of Maximum Observed Plasma Concentration (Cmax) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate Pharmacokinetic (PK) Parameters, Analysis of Time to Maximum Observed Plasma Concentration (Tmax) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Analysis of Plasma Trough Concentrations for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters, Analysis of Area Under the Plasma Concentration-time Curve (AUC) for GSBR-1290 at Specified Timepoints Pre-dose and Post-dose to Calculate PK Parameters",Anaheim - United States,2023-06-28,2023-06-07,2023-07-14,INTERVENTIONAL,PHASE1
NCT05762471,GSBR-1290,"A Phase 1b/2a, Randomized, Double-blind, Placebo-controlled, Study of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple Ascending Doses of GSBR-1290 in Adult Overweight or Obese Healthy Subjects and in Subjects With Type 2 Diabetes Mellitus on Metformin","Gasherbrum Bio, Inc",Unknown,COMPLETED,142,2023-01-09,"Overweight or Obesity, Type2 Diabetes Mellitus","GSBR-1290, Placebo","Incidence, severity and relationship of AE/SAE, vital signs, laboratory measures and ECG to assess safety and tolerability of multiple oral doses of GSBR-1290 in HOV and T2DM","Analysis of Cmax at specified timepoints predose and postdose to calculate PK parameters, Analysis of Tmax at specified timepoints predose and postdose to calculate PK parameters, Analysis of AUC at specified timepoints predose and postdose to calculate PK parameters, Identification of GSBR-1290 metabolites following oral administration of multiple doses in plasma","Anaheim - United States, Chula Vista - United States, Miami - United States, Port Orange - United States",2024-04-11,2023-03-09,2024-04-25,INTERVENTIONAL,"PHASE1, PHASE2"
NCT02709876,RP-1,Unknown,Stem Cells Arabia,Unknown,UNKNOWN,50,2014-04,Retinitis Pigmentosa,Stem Cell Transplantation,ETDRS Visual acuity change,"Quality of Life: Questionnaire VFQ-25 (Visual Function Questionnaire-25), Color Vision: Ishihara Color Test, Contrast sensitivity: CSV-1000E",Amman - Jordan,2020-09,2016-03-16,2020-03-17,INTERVENTIONAL,"PHASE1, PHASE2"
NCT04776889,RP-1,"The Prognosis of Lipid Reprogramming With the HMG-CoA Reductase Inhibitor, Rosuvastatin, in Castrated Egyptian Prostate Cancer Patients","National Cancer Institute, Egypt",Unknown,COMPLETED,70,2019-01-15,Prostate Cancer Metastatic,"Rosuvastatin 20mg, surgical castration","Lipid profile, Aggressiveness parameters, Aggressiveness parameters, Aggressiveness parameters, Aggressiveness parameters, Lipid metabolism parameters, Lipid metabolism parameters, Lipid metabolism parameters, Lipid metabolism parameters","short-term clinical outcome, short-term clinical outcome",Cairo - Egypt,2020-12-30,2021-03-02,2021-03-02,INTERVENTIONAL,PHASE4
NCT06264180,RP-1,"Randomized, Ph3 Clinical Study Comparing Vusolimogene Oderparepvec in Combination With Nivolumab Vs Treatment of Physician's Choice in Patients With Advanced Melanoma That Progressed on Anti-PD-1 and Anti-CTLA-4 Containing Treatment",Replimune Inc.,Unknown,NOT_YET_RECRUITING,400,2024-06-01,Advanced Melanoma,"Vusolimogene Oderparepvec, Nivolumab, Nivolumab + Relatlimab, Pembrolizumab, Single-agent chemotherapy",Overall Survival (OS),"Progression Free Survival (PFS), Objective Response Rate (ORR)",No locations listed,2029-01-01,2024-02-16,2024-02-16,INTERVENTIONAL,PHASE3
NCT05858229,RP-1,A Phase 1B Study of Intralesional Injection of RP1 in Patients With Resectable Cutaneous SCC,Sherrif Ibrahim,Unknown,RECRUITING,12,2023-06-16,"Squamous Cell Carcinoma, RP1",RP1,Evaluate degree of pathologic response at 16 weeks.,"Evaluate the duration of response, Evaluate presence of disease, To estimate the complete response (CR) rate, To evaluate the disease control rate (DCR)",Victor - United States,2025-12,2023-05-15,2024-03-26,INTERVENTIONAL,"PHASE1, PHASE2"
NCT03767348,RP-1,"An Open-Label, Multicenter, Phase 1/2 Study of RP1 as a Single Agent and in Combination With PD1 Blockade in Patients With Solid Tumors",Replimune Inc.,IGNYTE,RECRUITING,340,2017-09-20,"Cancer, Melanoma (Skin), Mismatch Repair Deficiency, Microsatellite Instability, Non-melanoma Skin Cancer, Cutaneous Melanoma, NSCLC","RP1, nivolumab","Percentage of adverse events (AEs), Percentage of serious adverse events (SAEs), Percentage of dose limiting toxicities (DLTs), Percentage of overall response rate (ORR), Maximum tolerated dose (MTD) and recommended Phase 2 dose (RP2D) of RP1","Percentage of biologic activity, Percentage subjects with detectable RP1, Percentage of complete response (CR), Median duration of response, Median progression-free survival, Median overall survival","Birmingham - United States, Gilbert - United States, Phoenix - United States, Little Rock - United States, La Jolla - United States, Los Angeles - United States, Los Angeles - United States, Orange - United States, San Francisco - United States, Miami - United States, Iowa City - United States, Louisville - United States, Rochester - United States, Morristown - United States, New York - United States, New York - United States, Rochester - United States, Durham - United States, Cincinnati - United States, Portland - United States, Charleston - United States, Germantown - United States, Houston - United States, Murray - United States, Saint George - United States, Seattle - United States, Madison - United States, Besançon - France, Bordeaux - France, Dijon - France, Lyon - France, Marseille - France, Nice - France, Paris - France, Villejuif - France, Berlin - Germany, Essen - Germany, Kiel - Germany, Marburg - Germany, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Murcia - Spain, Pamplona - Spain, Sevilla - Spain, Valencia - Spain, Leeds - United Kingdom, Oxford - United Kingdom, Glasgow - United Kingdom, Bebington - United Kingdom, London - United Kingdom, Southampton - United Kingdom",2024-11,2018-12-06,2023-08-02,INTERVENTIONAL,PHASE2
NCT06395116,RP-1,"""Influence of Fabrication Technique on Microbial Adhesion and Biofilm Formation to Conventional, Milled, and 3D-Printed Resin Denture Base Materials",Menoufia University,Unknown,ACTIVE_NOT_RECRUITING,60,2023-01-20,"Inflammatory Response, Microbial Colonization, Denture Stomatitis",Denture base material,Biofilm formation,No secondary outcomes listed,Mansoura - Egypt,2024-07-04,2024-05-01,2024-05-01,OBSERVATIONAL,Not Available
NCT02786381,RP-1,Idylla Respiratory (IFV-RSV) Panel Clinical Testing and Sample Collection Protocol in Support of 510(k) Premarket Submission,"Janssen Pharmaceutica N.V., Belgium",RP1,COMPLETED,213,2015-11,"Respiratory Tract Infections, Influenza, Human, Respiratory Syncytial Virus Infections",No interventions listed,Product performance as measured by positive and negative agreement to a predicate,No secondary outcomes listed,Pensacola - United States,2016-10,2016-06-01,2016-11-22,OBSERVATIONAL,Not Available
NCT06216938,RP-1,Phase I Pilot Study of RP1 in Primary Melanoma to Reduce the Risk of Sentinel Lymph Node Metastasis,Yana Najjar,Unknown,RECRUITING,25,2024-02-02,Melanoma,Vusolimogene oderparepvec (RP1),Rate of Sentinel Lymph Node (SLN) Positivity,"Incidence of all treatment-emergent adverse events (TEAEs), Incidence of ≥ Grade 3 Treatment Emergent Adverse Events (TEAEs), Incidence of Serious Adverse Events (SAEs), Incidence of fatal Adverse Events (AEs), Incidence of all treatment-emergent adverse events (TEAEs) requiring withdrawal from RP1, Recurrence Free Survival (RFS), Overall Survival (OS)",Pittsburgh - United States,2026-01-31,2024-01-22,2024-03-04,INTERVENTIONAL,EARLY_PHASE1
NCT04349436,RP-1,"An Open-Label, Multicenter, Phase 1B/2 Study of RP1 in Solid Organ and Hematopoietic Cell Transplant Recipients With Advanced Cutaneous Malignancies",Replimune Inc.,ARTACUS,RECRUITING,65,2020-05-15,"Cutaneous Squamous Cell Carcinoma, Merkel Cell Carcinoma, Basal Cell Carcinoma, Melanoma","RP1, intra-tumoral injection, oncolytic virus","Primary Safety Outcome Measure, Primary Efficacy Outcome Measure, Incidence of subjects with treatment-emergent adverse events greater than or equal to Grade 3, Incidence of subjects with Serious adverse events (SAEs), Incidence of subjects with fatal adverse events, Treatment-emergent adverse events requiring withdrawal from IP and incidence of organ allograft rejection","Duration of response (DOR) by investigator among subjects who experience Complete Response (CR) or Progressive Disease (PD), CR rate by investigator assessment, Disease control rate (DCR) by investigator review, Clinical benefit rate defined as the rate of Complete Response (CR), Partial Response (PR), or Stable Disease (SD), Progression Free Survival (PFS) by investigator review Duration of clinical benefit (DOCB) during active treatment and for up to one year after last treatment by investigator review, Overall survival (OS) at one year and two years, 3-year survival rate of subjects, Quality of life (QoL), as determined by patient-reported outcomes, Biologic activity as assessed by changes in individual tumor sizes, erythema, inflammation and necrosis, Disease-free Survival, To asses the efficacy of RP1 as determined by ORR in all transplant recipients treated, by investigator review","Phoenix - United States, La Jolla - United States, Los Angeles - United States, San Francisco - United States, Aurora - United States, Miami - United States, Tampa - United States, Chicago - United States, Ann Arbor - United States, New York - United States, New York - United States, Durham - United States, Cincinnati - United States, Columbus - United States, Pittsburgh - United States, Houston - United States, Richmond - United States",2027-09,2020-04-16,2024-03-01,INTERVENTIONAL,"PHASE1, PHASE2"
NCT04050436,RP-1,"A Randomized, Controlled, Open-Label, Phase 2 Study of Cemiplimab as a Single Agent and in Combination With RP1 in Patients With Advanced Cutaneous Squamous Cell Carcinoma",Replimune Inc.,CERPASS,ACTIVE_NOT_RECRUITING,231,2019-10-08,"Cutaneous Squamous Cell Carcinoma, Advanced Cutaneous Squamous Cell Carcinoma, Metastatic Cutaneous Squamous Cell Carcinoma","Cemiplimab, RP1","Objective Response Rate (ORR) according to blinded independent review, Complete Response Rate (CRR) according to blinded independent review","Progression Free Survival (PFS) by blinded independent review., ORR/CRR by investigator assessment and blinded independent review, ORR/CRR for patients with metastatic or locally advanced disease according to investigator review and blinded independent review, ORR/CRR for patients who have and have not previously received systemic CSCC-directed therapy and blinded independent review, Duration of Response (DOR) per investigator review and blinded independent review, Progression-free Survival (PFS) per investigator review, Overall Survival (OS), 3-year survival, Change in overall scores of patient-reported outcomes in European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire Core 30 (EORTC QLQ-C30), Evaluation of the safety and tolerability of cemiplimab alone and combined with RP1 as assessed via adverse events (AEs)","La Jolla - United States, Los Angeles - United States, Stanford - United States, Aurora - United States, Miami - United States, Orlando - United States, Tampa - United States, Atlanta - United States, Hackensack - United States, New York - United States, Chapel Hill - United States, Columbus - United States, Greenville - United States, Houston - United States, Camperdown - Australia, Wollongong - Australia, Southport - Australia, Clayton - Australia, Melbourne - Australia, Melbourne - Australia, Nedlands - Australia, Panagyurishte - Bulgaria, Plovdiv - Bulgaria, Toronto - Canada, Besancon - France, Dijon - France, La Tronche - France, Lille - France, Lyon - France, Marseille - France, Nice - France, Paris - France, Pierre-Bénite - France, Villejuif - France, Berlin - Germany, Essen - Germany, Hamburg - Germany, Heidelberg - Germany, München - Germany, Tübingen - Germany, Athens - Greece, Athens - Greece, Athens - Greece, Athens - Greece, Bari - Italy, Gdańsk - Poland, Kraków - Poland, Warsaw - Poland, Wrocław - Poland, Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Madrid - Spain, Murcia - Spain, Pamplona - Spain, Valencia - Spain",2025-09,2019-08-08,2024-04-02,INTERVENTIONAL,PHASE2
NCT04960579,RP-1,"Open-Label, Multicenter, Phase 1 Study to Assess the Safety of P-BCMA-ALLO1 in Subjects With Relapsed / Refractory Multiple Myeloma (MM)","Poseida Therapeutics, Inc.",MM,RECRUITING,231,2022-05-05,Multiple Myeloma,"P-BCMA-ALLO1 CAR-T cells, Rimiducid","Phase 1 Part 1: Assess the safety and maximum tolerated dose (MTD) of P-BCMA-ALLO1 based on dose limiting toxicities (DLT), Phase 1 Part 2: Assess the safety and tolerability of P-BCMA-ALLO1 when administered as a fixed dose of cells., Phase 1b: The effect of cell dose and study arm to guide selection of Recommended Phase 2 Dose (RP2D).","The safety of P-BCMA-ALLO1, The anti-myeloma effect of P-BCMA-ALLO1 (ORR) in Phase 1 Parts 1 and 2, The anti-myeloma effect of P-BCMA-ALLO1 (TTR), The anti-Myeloma effect of P-BCMA-ALLO1 (DOR), The anti-Myeloma effect of P-BCMA-ALLO1 (PFS), The anti-Myeloma effect of P-BCMA-ALLO1 (OS)","San Diego - United States, San Francisco - United States, Park Ridge - United States, Iowa City - United States, Kansas City - United States, Baltimore - United States, Detroit - United States, Buffalo - United States, Cincinnati - United States, Cleveland - United States, Oklahoma City - United States, Nashville - United States, Austin - United States, Houston - United States, San Antonio - United States",2027-12,2021-07-14,2024-06-21,INTERVENTIONAL,PHASE1
NCT03999021,RP-1,A Phase 1 Open-Label Extension Study to Assess the Long-Term Safety and Tolerability of N-Acetylcysteine (NAC) in Patients With Retinitis Pigmentosa,Johns Hopkins University,Unknown,ACTIVE_NOT_RECRUITING,30,2019-06-24,Retinitis Pigmentosa,NAC effervescent tablets,"Blood Pressure (mmHg), Tolerability of N-Acetylcysteine as assessed by drug-related symptoms, Tolerability of N-Acetylcysteine as assessed by time at which medication is taken, Tolerability of N-Acetylcysteine as assessed by number of times medication is taken per day","Change in best corrected visual acuity (BCVA), Change in central retinal sensitivity as assessed by microperimetry, Change in ellipsoid zone (EZ) width (µm), Change in aqueous reduced to oxidized glutathione ratio (GSH/GSSG), Change in serum carbonyl content (nmol/mg), Change in aqueous levels of N-Acetylcysteine (mg), Change in plasma levels of N-Acetylcysteine (µg/ml)",Baltimore - United States,2026-08,2019-06-26,2023-10-10,INTERVENTIONAL,PHASE1
NCT03063021,RP-1,A Phase 1 Open Label Dose Ranging Study to Assess the Safety and Tolerability of N-Acetylcysteine (NAC) in Patients With Retinitis Pigmentosa (FIGHT-RP1 Study),Johns Hopkins University,FIGHT-RP1,COMPLETED,30,2017-02-15,Retinitis Pigmentosa,N-Acetyl Cysteine (NAC),Assessment of safety and tolerability of N-Acetylcysteine including incidence and severity of systemic and ocular adverse events (AEs) and changes from baseline vital signs and physical examination.,"Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 1 month after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 2 months after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 3 months after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 4 months after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 5 months after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 6 months after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 7 months after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 8 months after initiation of N-Acetylcysteine ., Change from baseline aqueous and serum carbonyl content and GSH/GSSG ratio at 9 months after initiation of N-Acetylcysteine ., Change from baseline best corrected visual acuity (BCVA) 6 months after initiation of N-Acetylcysteine, Change from baseline central retinal sensitivity by microperimetry 3 months after initiation of N-Acetylcysteine, Change from baseline central retinal sensitivity by microperimetry 6 months after initiation of N-Acetylcysteine, Change from baseline central retinal sensitivity by microperimetry 9 months after initiation of N-Acetylcysteine, Change from baseline ellipsoid zone (EZ) width by spectral domain optical coherence tomography (SD-OCT) 6 months after initiation of N-Acetylcysteine, Change from baseline aqueous levels of N-Acetylcysteine, Change from baseline plasma levels of N-Acetylcysteine",Baltimore - United States,2019-02-11,2017-02-24,2022-09-19,INTERVENTIONAL,PHASE1
NCT06067061,RP-1,"""neoBREASTIM"": A Phase 2 Study of Atezolizumab Plus RP1 Oncolytic Immunotherapy in the NeoAdjuvant Setting of Triple-Negative Breast Cancer (TNBC)",Institut Curie,neoBREASTIM,RECRUITING,51,2024-04-05,Triple Negative Breast Neoplasms,Atezolizumab + RP1,"Safety of the combination Atezolizumab plus RP1 oncolytic during the safety run-in phase, Toxicity of the combination Atezolizumab plus RP1 oncolytic immunotherapy during the safety run-in phase., Residual Cancer Burden (RCB) 0-1 during the phase II part","Response rate of RCB Score <= 1 at three cycles, Safety and toxicity of the combination Atezolizumab plus RP1 oncolytic immunotherapy, Invasive disease-free survival (iDFS), Percentage of TILs, Pre-treatment expression of Programmed Death-Ligand 1 (PD-L1), Correlation between RCB rates and response by Positron Emission Tomography-Scan (PET-CT) or breast MRI, RCB rates and response, Breast Conservation Surgery (BCS), Correlation between RCB rates and radiomics analyses",Paris - France,2026-04-05,2023-10-04,2024-05-30,INTERVENTIONAL,"PHASE1, PHASE2"
